review_id,review_text,rating,review_date,review_year,review_month,bank_code,bank_name,user_name,thumbs_up,text_length,source,sentiment_label,clean_text,tokens,tokens_nostop,nouns,tb_polarity,tb_subjectivity,tb_sentiment,vader_compound,vader_sentiment
ba01d6b7-97fe-4376-b68c-817f397c00af,I can't access the loan in the app. only it work in USSD,3,2025-11-28,2025,11,Awash,Awash Bank,FAHMI SHEMSEDIN,0,56,Google Play,neutral,i can't access the loan in the app. only it work in ussd,"['i', ""can't"", 'access', 'the', 'loan', 'in', 'the', 'app.', 'only', 'it', 'work', 'in', 'ussd']","[""can't"", 'access', 'loan', 'app.', 'work', 'ussd']","['loan', 'app', 'USSD']",0.0,1.0,neutral,0.0,neutral
bde60e8b-0b05-4c88-9f60-c14c18fa57b9,no one from all ethiopian bank keep it up nice,5,2025-11-28,2025,11,Awash,Awash Bank,Zed Cherinet,0,46,Google Play,positive,no one from all ethiopian bank keep it up nice,"['no', 'one', 'from', 'all', 'ethiopian', 'bank', 'keep', 'it', 'up', 'nice']","['one', 'ethiopian', 'bank', 'keep', 'nice']","['one', 'bank']",0.6,1.0,positive,0.1531,positive
fae55af8-1c5a-41f5-b6e8-55652afbf303,thenk you ✍️🙏,5,2025-11-26,2025,11,Awash,Awash Bank,dechasa leta,0,13,Google Play,positive,thenk you ✍️🙏,"['thenk', 'you', '✍️🙏']","['thenk', '✍️🙏']",[],0.0,0.0,neutral,0.0,neutral
e35ece9f-a9fb-4510-a9e3-8b8487a99d12,i hope to be good app,5,2025-11-24,2025,11,Awash,Awash Bank,Mulubirhan Yikunom,0,21,Google Play,positive,i hope to be good app,"['i', 'hope', 'to', 'be', 'good', 'app']","['hope', 'good', 'app']",['app'],0.7,0.6000000000000001,positive,0.7003,positive
fb9ed669-ea1d-4eb5-a336-634ccc59e265,amazing 😍😍,5,2025-11-23,2025,11,Awash,Awash Bank,Mifta Raya,0,10,Google Play,positive,amazing 😍😍,"['amazing', '😍😍']","['amazing', '😍😍']",[],0.6000000000000001,0.9,positive,0.5859,positive
32a892d3-4579-4e5b-b76b-0aeb7253ec42,excellent👍👍👍👍👍,5,2025-11-21,2025,11,Awash,Awash Bank,Abdi Sabit,0,14,Google Play,positive,excellent👍👍👍👍👍,['excellent👍👍👍👍👍'],['excellent👍👍👍👍👍'],['👍'],0.0,0.0,neutral,0.0,neutral
f94eb5b4-938d-4589-98cf-3d876cc520cd,fast,5,2025-11-18,2025,11,Awash,Awash Bank,Dinsefa Kedr,0,4,Google Play,positive,fast,['fast'],['fast'],[],0.2,0.6,positive,0.0,neutral
f5533578-b836-4061-ac57-e7d7db4e69f6,really good application,5,2025-11-18,2025,11,Awash,Awash Bank,Nasir Hussen,0,23,Google Play,positive,really good application,"['really', 'good', 'application']","['really', 'good', 'application']",['application'],0.7,0.6000000000000001,positive,0.4927,positive
64626a61-2c68-4750-a257-40c11cc220d8,በጥሩ አቀባበላችሁ እረካለሁ።,4,2025-11-17,2025,11,Awash,Awash Bank,Hailemariam Gutema,0,18,Google Play,positive,በጥሩ አቀባበላችሁ እረካለሁ።,"['በጥሩ', 'አቀባበላችሁ', 'እረካለሁ።']","['በጥሩ', 'አቀባበላችሁ', 'እረካለሁ።']",[],0.0,0.0,neutral,0.0,neutral
aa085308-d28c-4be3-b999-2ec457baaded,💪,5,2025-11-16,2025,11,Awash,Awash Bank,Visionary,0,1,Google Play,positive,💪,['💪'],['💪'],[],0.0,0.0,neutral,0.0,neutral
34b23447-cd73-47b3-a08f-4332a1edb2af,simple and fast,4,2025-11-16,2025,11,Awash,Awash Bank,Mesfin Efa,0,15,Google Play,positive,simple and fast,"['simple', 'and', 'fast']","['simple', 'fast']",[],0.1,0.47857142857142854,neutral,0.0,neutral
46081860-d68b-48fd-8ae9-68029aecff20,It is a good platform,5,2025-11-15,2025,11,Awash,Awash Bank,mesfin bogale,0,21,Google Play,positive,it is a good platform,"['it', 'is', 'a', 'good', 'platform']","['good', 'platform']",['platform'],0.7,0.6000000000000001,positive,0.4404,positive
1b9f1bf8-0201-4237-ac3d-6d082d205fdd,very good,3,2025-11-14,2025,11,Awash,Awash Bank,Birhane Argawi,0,9,Google Play,neutral,very good,"['very', 'good']",['good'],[],0.9099999999999999,0.7800000000000001,positive,0.4927,positive
43dc1b3b-ca59-41c6-b56e-b4f9cc5838c5,your service is good,5,2025-11-13,2025,11,Awash,Awash Bank,Boki Girma (Mekonnen),0,20,Google Play,positive,your service is good,"['your', 'service', 'is', 'good']","['service', 'good']",['service'],0.7,0.6000000000000001,positive,0.4404,positive
07f2d460-f442-4ae6-9b15-593464095236,thanks for your pro app,5,2025-11-12,2025,11,Awash,Awash Bank,Alemayehu Balcha,2,23,Google Play,positive,thanks for your pro app,"['thanks', 'for', 'your', 'pro', 'app']","['thanks', 'pro', 'app']","['thanks', 'app']",0.2,0.2,positive,0.4404,positive
